ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,Country_sp,Iso3166,Report ,Type,(C/TC) x100 (e),(SD/D) x100 (e),0,CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Lab Confirm Incidence rate,Number of Records,Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Grenada,  ,2025,Out,53,Granada,308,01/01/2025,Preliminar,0,2.304147465,0,0,0,0,53,185.47,0,1,117,5,217
6,Anguilla,DEN 1,2019,Out,53,Anguila,660,01/01/2019,Preliminar,33.33333333,0,0,0,2,0,44,42.86,14.29,1,14,0,6
6,Curaçao,  ,2024,Out,53,Curazao,531,01/01/2024,Preliminar,87.02290076,0,0,0,228,0,12,141.62,123.24,1,185,0,262
6,Jamaica,DEN 2,2024,Out,53,Jamaica,388,01/01/2024,Preliminar,2.114060964,0,0,0.049,43,1,51,71.64,1.51,1,2839,0,2034
6,Antigua and Barbuda,"DEN 1,2",2024,Out,53,Antigua y Barbuda,28,01/01/2024,Preliminar,10.0591716,0,0,0,17,0,48,181.72,18.28,1,93,0,169
6,Curaçao,  ,2017,Out,53,Curazao,531,01/01/2017,Preliminar,,,0,,0,0,52,0,0,1,168,0,0
6,Jamaica,DEN 3,2017,Out,53,Jamaica,388,01/01/2017,Final,0,17.67441861,0,2.791,0,6,52,7.64,0,1,2815,38,215
5,Cuba,DEN 2,2018,Out,53,Cuba,192,01/01/2018,Preliminar,100,0,0,0,2128,0,52,18.95,18.95,1,11227,0,2128
2,Honduras,"DEN 1,2",2019,Out,53,Honduras,340,01/01/2019,Preliminar,0.136216069,14.71663274,0,0.136,180,180,52,"1,329.01",1.81,1,9943,19447,132143
2,Belize,DEN 3,2016,Out,53,Belice,84,01/01/2016,Final,2.670176758,,0,,71,,52,730.49,19.51,1,364,,2659
2,Panama,DEN 1,2020,Out,53,Panamá,591,01/01/2020,Final,45.84900928,0.275896664,0,0.15,1828,6,53,92.87,42.58,1,4293,11,3987
3,Venezuela,"DEN 1,2,3",2020,Out,53,Venezuela,862,01/01/2020,Preliminar,4.523136438,0.461240887,0,0.208,304,14,53,23.63,1.07,1,28444,31,6721
2,Costa Rica,"DEN 1,2",2020,Out,53,Costa Rica,188,01/01/2020,preliminar,4.23627685,0.208830549,0,0,426,0,53,199.76,8.46,1,5034,21,10056
6,Bermuda,  ,2020,Out,53,Bermuda,60,01/01/2020,Preliminar,,,0,,0,0,53,0,0,1,64,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2020,Out,53,"Bonaire, San Eustaquio y Saba",535,01/01/2020,Preliminar,,,0,,0,0,53,0,0,1,26,0,0
6,Cayman Islands,DEN 2,2020,Out,53,Islas Caimán,136,01/01/2020,Preliminar,2.857142857,0,0,0,1,0,53,51.47,1.47,1,68,0,35
6,Curaçao,  ,2020,Out,53,Curazao,531,01/01/2020,Preliminar,,,0,,0,0,53,0,0,1,185,0,0
6,Dominica,"DEN 2,3",2020,Out,53,Dominica,212,01/01/2020,Preliminar,15.90909091,1.136363636,0,0,14,0,53,131.34,20.9,1,67,1,88
6,Grenada,DEN 3,2020,Out,53,Granada,308,01/01/2020,Preliminar,67.58893281,1.581027668,0,0,171,0,53,218.1,147.41,1,116,4,253
6,Saint Kitts and Nevis,DEN 3,2020,Out,53,Saint Kitts y Nevis,659,01/01/2020,Preliminar,10,0,0,0,2,0,53,43.48,4.35,1,46,0,20
6,Sint Maarten,  ,2020,Out,53,Isla de San Martín (Holanda),534,01/01/2020,Preliminar,100,0,0,0,9,0,53,21.95,21.95,1,41,0,9
6,Trinidad and Tobago,  ,2020,Out,53,Trinidad y Tobago,780,01/01/2020,Preliminar,3.389830508,0,0,0,2,0,53,3.98,0.14,1,1481,0,59
6,Barbados,  ,2020,Out,53,Barbados,52,01/01/2020,Preliminar,8.062130178,0.369822485,0,0.074,109,1,53,481.14,38.79,1,281,5,1352
2,Belize,"DEN 1,3",2020,Out,53,Belice,84,01/01/2020,Preliminar,20.8606174,0,0,0,223,0,53,274.1,57.18,1,390,0,1069
4,Brazil,"DEN 1,2,3,4",2020,Out,53,Brasil,76,01/01/2020,Preliminar,52.14996231,0.056436255,0,0.038,765114,554,53,703.13,366.68,1,208660,828,1467142
3,Peru,"DEN 1,2,3",2025,Out,53,Perú,604,01/01/2025,Preliminar,87.37344113,0.492208819,0,0.143,34260,56,53,113.41,99.09,1,34576,193,39211
6,Sint Maarten,  ,2025,Out,53,Isla de San Martín (Holanda),534,01/01/2025,Preliminar,100,0,0,0,8,0,28,18.6,18.6,1,43,0,8
6,Martinique,DEN 2,2017,Out,53,Martinica,474,01/01/2017,Preliminar,7.079646018,0,0,0,8,0,46,30.46,2.16,1,371,0,113
2,Costa Rica,"DEN 1,2,3",2015,Out,53,Costa Rica,188,01/01/2015,Final,0,0.034494653,0,0,0,0,52,361.02,0,1,4818,6,17394
6,Jamaica,"DEN 2,4",2023,Out,53,Jamaica,388,01/01/2023,Preliminar,18.75305624,0,0,0.073,1534,6,52,288.13,54.03,1,2839,0,8180
6,Dominica,  ,2018,Out,53,Dominica,212,01/01/2018,Preliminar,2.222222222,0,0,0,1,0,52,66.18,1.47,1,68,0,45
6,Antigua and Barbuda,  ,2025,Out,53,Antigua y Barbuda,28,01/01/2025,Preliminar,66.66666667,0,0,0,10,0,44,15.96,10.64,1,94,0,15
6,Guyana,  ,2025,Out,53,Guyana,328,01/01/2025,Preliminar,21.74546077,3.290224963,0,0.01,15234,7,52,"8,389.94","1,824.43",1,835,2305,70056
4,Argentina,"DEN 1,2,3",2025,Out,53,Argentina,32,01/01/2025,Preliminar,45.95988214,0.26631913,0,0.074,8111,13,53,38.49,17.69,1,45851,47,17648
6,Antigua and Barbuda,  ,2017,Out,53,Antigua y Barbuda,28,01/01/2017,Preliminar,0,0,0,0,0,0,52,1.11,0,1,90,0,1
6,Trinidad and Tobago,  ,2017,Out,53,Trinidad y Tobago,780,01/01/2017,Preliminar,2.666666667,0,0,0,8,0,52,20.76,0.55,1,1445,0,300
6,Guyana,DEN 3,2024,Out,53,Guyana,328,01/01/2024,Preliminar,24.67930722,2.667040988,0,0.017,11428,8,52,"5,572.32","1,375.21",1,831,1235,46306
6,Saint Barthelemy,  ,2017,Out,53,San Bartolomé,652,01/01/2017,Preliminar,0,0,0,0,0,0,46,611.11,0,1,9,0,55
6,Grenada,  ,2017,Out,53,Granada,308,01/01/2017,Preliminar,100,0,0,0,239,0,52,207.83,207.83,1,115,0,239
5,Cuba,"DEN 2,3",2017,Out,53,Cuba,192,01/01/2017,Preliminar,100,1.522435897,0,0,1248,0,52,11.1,11.1,1,11247,19,1248
6,Suriname,  ,2017,Out,53,Suriname,740,01/01/2017,Preliminar,0,0,0,0,0,0,52,0.17,0,1,593,0,1
